ID,CAS,Name,logDow,logKlip/w-neutral,logKlip/w-ionic,logDlip/w-(pH 7.40),SMILES,MolWt,HeavyAtomCount,RotatableBondCount,HBD,HBA,RingCount,Molecule_Index_in_SDF,IsValid,J
225,076824-35-6,famotidine,-2.44,2.3,1.7,1.75,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,337.456,20,7,4,6,1,225,True,
226,000054-31-9,furosemide,-1.25,3,1.9,1.9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.749,21,5,3,5,2,226,True,
227,022916-47-8,miconazole,5.89,3.7,2.9,3.55,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.1350000000001,25,6,0,3,3,227,True,
228,075438-57-2,moxonidine,1.3,1.8,1.3,1.59,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.68200000000002,16,2,2,6,2,228,True,
229,076963-41-2,nizatidine,0.72,3,2.8,2.82,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,331.46700000000004,21,10,2,8,1,229,True,
230,132539-06-1,olanzapine,3.16,3.7,2.7,3.29,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,312.44200000000006,22,0,1,5,4,230,True,
231,091161-71-6,terbinafine,4.25,5,3,3.1,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,291.438,22,4,0,1,2,231,True,
232,014293-44-8,xipamide,1.81,3.3,1.7,1.79,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,354.8150000000001,23,3,3,4,2,232,True,
233,030516-87-1,zidovudine,-0.41,1.9,2.4,2.4,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,267.245,19,3,2,6,2,233,True,
234,043200-80-2,zopiclone,0.59,1.8,1.4,1.7,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,388.8150000000001,27,2,0,7,4,234,True,
235,000699-04-7,(p-methylbenzyl)methylamine,0.02,3.09,2.54,2.54,Cc1ccc(CCN)cc1,135.20999999999995,10,2,1,1,1,235,True,
236,039190-96-0,(p-methylbenzyl)propylamine,0.69,3.07,2.11,2.11,Cc1ccc(CCCCN)cc1,163.26399999999998,12,4,1,1,1,236,True,
237,170303-38-5,(p-methylbenzyl)pentylamine,1.57,3.5,1.84,1.84,Cc1ccc(CCCCCCN)cc1,191.318,14,6,1,1,1,237,True,
238,215177-24-5,(p-methylbenzyl)heptylamine,2.46,4.4,2.71,2.71,CCCCCCCNCc1ccc(C)cc1,219.372,16,8,1,1,1,238,True,
239,000095-68-1,"3,4-dimethylaniline",2.17,2.11,1.99,2.11,Cc1ccc(N)cc1C,121.18299999999998,9,0,1,1,1,239,True,
240,037517-30-9,acebutolol,-0.6,0,0.66,0.66,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,336.4320000000001,24,10,3,5,1,240,True,
241,013655-52-2,alprenolol,0.47,0,2.17,2.17,C=CCc1ccccc1OCC(O)CNC(C)C,249.35399999999998,18,8,2,3,1,241,True,
242,023284-25-5,bupranolol,0.68,0,2.49,2.49,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,271.788,18,5,2,3,1,242,True,
243,083881-51-0,cetirizine,0.73,0,3.2,3.2,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,388.8950000000001,27,8,1,4,3,243,True,
244,000050-53-3,chlorpromazine,2.74,5.1,3.4,3.43,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,318.8730000000001,21,4,0,3,3,244,True,
245,000068-88-2,hydroxyzine,2.89,3.4,2.8,2.98,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,374.91200000000003,26,8,1,4,3,245,True,
246,312753-06-3,indacaterol,2.32,0,3.56,3.56,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,392.49900000000014,29,6,4,4,4,246,True,
247,036894-69-6,labetalol,1.26,2.73,2.32,2.32,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,328.4120000000001,24,8,4,4,2,247,True,
248,000119-27-7,"2,4-dinitroanisole",1.71,1.6,0,1.6,COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],198.13399999999996,14,3,0,5,1,248,True,
249,000121-14-2,"2,4-dinitrotoluene",1.98,2.41,0,2.41,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],182.135,13,2,0,4,1,249,True,
250,000099-35-4,"2,4,6-trinitrobenzene",1.18,1.73,0,1.73,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,213.105,15,3,0,6,1,250,True,
251,000118-96-7,trinitrotoluene,1.6,2.18,0,2.18,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],227.13199999999998,16,3,0,6,1,251,True,
252,042200-33-9,nadolol,-1.44,0,0.95,0.95,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,309.406,22,5,4,5,2,252,True,
253,083891-03-6,norfluoxetine,1.46,0,3.84,3.84,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,295.304,21,5,1,2,2,253,True,
254,006452-71-7,oxprenolol,-0.06,0,1.51,1.51,C=CCOc1ccccc1OCC(O)CNC(C)C,265.353,19,9,2,4,1,254,True,
255,016183-21-4,(p-methylbenzyl)butylamine,1.13,3.05,1.54,1.55,Cc1ccc(CCCCCN)cc1,177.291,13,5,1,1,1,255,True,
256,039099-13-3,(p-methylbenzyl)ethylamine,0.3,3.06,2.26,2.27,Cc1ccc(CCCN)cc1,149.23699999999997,11,3,1,1,1,256,True,
257,215177-23-4,(p-methylbenzyl)hexylamine,2.02,4.2,2.43,2.44,CCCCCCNCc1ccc(C)cc1,205.34500000000003,15,7,1,1,1,257,True,
258,013523-86-9,pindolol,-0.53,0,1.4,1.4,CC(C)NCC(O)COc1cccc2[nH]ccc12,248.32600000000002,18,6,3,3,2,258,True,
